,hbaro_m,hdot_1_mps,flap_te_pos,gs_dev_ddm,gs_mps,loc_dev_ddm,lg_squat_mr,n11_rpm,n12_rpm,n13_rpm,n14_rpm,theta_rad,hralt_m,tas_mps,chi_rad,file
96812,998.5248,-8.69696,,,117.228015,,,41.125,34.5625,39.6875,40.4375,0.0182154866276622,816.864,131.889555,-1.03444784985262,686200104121532.csv
96813,,,,,,,,,,,,,,,,686200104121532.csv
96814,,,,,,,,,,,,0.0191741959026456,816.864,,,686200104121532.csv
96815,,,,,,,,,,,,,,,,686200104121532.csv
96816,997.9152,-6.25856,78.0,0.10530000180006,116.970795,0.252447992563248,0.0,41.0625,34.5,39.6875,40.4375,0.0199411637387514,816.864,131.6644875,-1.03732406506258,686200104121532.csv
96817,,,,,,,,,,,,,,,,686200104121532.csv
96818,,,,,,,,,,,,0.0205163901359797,816.864,,,686200104121532.csv
96819,,,,,,,,,,,,,,,,686200104121532.csv
96820,996.0864,-6.99008,,,116.713575,,,41.0625,34.5,39.71875,40.46875,0.0214750994109631,816.864,131.69664,-1.03952903023211,686200104121532.csv
96821,,,,,,,,,,,,,,,,686200104121532.csv
96822,,,,,,,,,,,,0.0226255522054195,816.864,,,686200104121532.csv
96823,,,,,,,,,,,,,,,,686200104121532.csv
96824,994.8672,-5.93344,,,116.713575,,0.0,41.03125,34.46875,39.71875,40.46875,0.0235842614804029,813.816,131.31081,-1.04173412855975,686200104121532.csv
96825,,,,,,,,,,,,,,,,686200104121532.csv
96826,,,,,,,,,,,,0.0245429707553864,816.864,,,686200104121532.csv
96827,,,,,,,,,,,,,,,,686200104121532.csv
96828,992.4288,-7.07136,,,116.52066,,,41.0,34.4375,39.6875,40.46875,0.0253099385914922,813.816,130.3140825,-1.04393909372927,686200104121532.csv
96829,,,,,,,,,,,,,,,,686200104121532.csv
96830,,,,,,,,,,,,0.0258851649887204,813.816,,,686200104121532.csv
96831,,,,,,,,,,,,,,,,686200104121532.csv
96832,990.9048,-7.15264,78.0,0.0932099968194962,116.26344,0.256955981254578,0.0,41.0,34.4375,39.625,40.46875,0.0266521328248262,810.768,130.089015,-1.04643168041979,686200104121532.csv
96833,,,,,,,,,,,,,,,,686200104121532.csv
96834,,,,,,,,,,,,0.0276108420998097,810.768,,,686200104121532.csv
